"state_county","trump","biden","others"
"california,nevada",26779,36359,1603
"california,orange",676498,814009,31218
"california,placer",122488,106869,5660
"california,plumas",6445,4561,253
"california,riverside",448702,527945,19509
"california,sacramento",259405,440808,18112
"california,san benito",10590,17628,608
"california,san bernardino",366257,455859,18815
"california,san diego",600094,964650,37137
"california,san francisco",56417,378156,8885
"california,san joaquin",121098,161137,6208
"california,san luis obispo",67436,88310,3955
"california,san mateo",75563,291410,7165
"california,santa barbara",65736,129963,4589
"california,santa clara",214612,617967,17943
"california,santa cruz",26937,114246,3613
"california,shasta",60789,30000,2111
"california,sierra",1142,730,58
"california,siskiyou",13290,9593,567
"california,solano",69306,131639,4886
"california,sonoma",61825,199938,6489
"california,stanislaus",104145,105841,5520
"california,sutter",24375,17367,898
"california,tehama",19141,8911,669
"california,trinity",3188,2851,219
"california,tulare",77579,66105,3148
"california,tuolumne",17689,11978,734
"california,ventura",162207,251388,9174
"california,yolo",27292,67598,2374
"california,yuba",17676,11230,881
"colorado,adams",95657,134202,6876
"colorado,alamosa",3813,3759,236
"colorado,arapahoe",127323,213607,9253
"colorado,archuleta",5189,3738,217
"colorado,baca",1867,317,41
"colorado,bent",1503,732,39
"colorado,boulder",42501,159089,4521
"colorado,chaffee",6222,7160,335
"colorado,cheyenne",993,131,12
"colorado,clear creek",2754,3604,190
"colorado,conejos",2286,1959,88
"colorado,costilla",741,1311,42
"colorado,crowley",1271,437,42
"colorado,custer",2474,1112,49
"colorado,delta",13081,5887,402
"colorado,denver",71618,313293,8916
"colorado,dolores",1089,341,19
"colorado,douglas",121270,104653,5676
"colorado,eagle",9892,18588,660
"colorado,elbert",14027,4490,466
"colorado,el paso",202828,161941,14080
"colorado,fremont",17517,7369,671
"colorado,garfield",14717,15427,760
"colorado,gilpin",1833,2223,130
"colorado,grand",4883,4710,277
"colorado,gunnison",3735,7132,323
"colorado,hinsdale",353,255,24
"colorado,huerfano",2203,2076,127
"colorado,jackson",681,175,20
"colorado,jefferson",148417,218396,10544
"colorado,kiowa",795,98,10
"colorado,kit carson",3144,662,65
"colorado,lake",1497,2303,161
"colorado,la plata",14233,20548,886
"colorado,larimer",91489,126120,6729
"colorado,las animas",4284,3497,180
"colorado,lincoln",2135,470,46
"colorado,logan",8087,2218,227
"colorado,mesa",56894,31536,2192
"colorado,mineral",427,317,12
"colorado,moffat",5670,1203,153
"colorado,montezuma",9306,5836,358
"colorado,montrose",16770,7687,465
"colorado,morgan",9593,3876,275
"colorado,otero",5756,3605,215
"colorado,ouray",1577,2365,78
"colorado,park",6991,4903,396
"colorado,phillips",1958,486,41
"colorado,pitkin",2780,8989,188
"colorado,prowers",4008,1458,95
"colorado,pueblo",42252,43772,2275
"colorado,rio blanco",3061,561,69
"colorado,rio grande",3660,2495,150
"colorado,routt",5925,10582,369
"colorado,saguache",1413,1884,92
"colorado,san juan",202,342,19
"colorado,san miguel",1136,3924,87
"colorado,sedgwick",1121,301,24
"colorado,summit",5322,12631,526
"colorado,teller",11241,5278,420
"colorado,washington",2595,369,44
"colorado,weld",96145,66060,4763
"colorado,yuma",4107,785,89
"colorado,broomfield",16295,29077,1260
"connecticut,andover",998,1058,35
"connecticut,ansonia",3797,4521,101
"connecticut,ashford",1160,1330,54
"connecticut,avon",4469,7299,219
"connecticut,barkhamsted",1228,1154,60
"connecticut,beacon falls",2191,1543,69
"connecticut,berlin",6687,6008,178
"connecticut,bethany",1718,1912,68
"connecticut,bethel",4734,6270,168
"connecticut,bethlehem",1393,937,37
"connecticut,bloomfield",1698,11007,116
"connecticut,bolton",1482,1727,79
"connecticut,bozrah",817,703,28
"connecticut,branford",7098,10562,253
"connecticut,bridgeport",8269,33515,404
"connecticut,bridgewater",549,667,17
"connecticut,bristol",13834,15462,503
"connecticut,brookfield",5226,5426,155
"connecticut,brooklyn",2262,1876,84
"connecticut,burlington",3034,3099,100
"connecticut,canaan",209,437,9
"connecticut,canterbury",1755,1182,75
"connecticut,canton",2663,3878,122
"connecticut,chaplin",662,598,30
"connecticut,cheshire",7349,9745,324
"connecticut,chester",853,1701,42
"connecticut,clinton",3312,4368,124
"connecticut,colchester",4243,5216,232
"connecticut,colebrook",563,403,22
"connecticut,columbia",1600,1888,80
"connecticut,cornwall",250,760,22
"connecticut,coventry",3545,4011,216
"connecticut,cromwell",3749,4872,162
"connecticut,danbury",12788,18869,364
"connecticut,darien",4921,7876,221
"connecticut,deep river",1076,1785,41
"connecticut,derby",2749,2963,66
"connecticut,durham",2330,2363,89
"connecticut,eastford",572,464,31
"connecticut,east granby",1405,1789,70
"connecticut,east haddam",2731,2980,114
"connecticut,east hampton",3746,4051,191
"connecticut,east hartford",5524,14787,296
"connecticut,east haven",7572,6757,172
"connecticut,east lyme",4285,7290,181
"connecticut,easton",2178,2777,68
"connecticut,east windsor",2541,3008,103
"connecticut,ellington",4515,4787,189
"connecticut,enfield",9298,11263,368
"connecticut,essex",1635,3011,69
"connecticut,fairfield",12052,22861,501
"connecticut,farmington",6160,9616,261
"connecticut,franklin",674,553,34
"connecticut,glastonbury",7998,13990,386
"connecticut,goshen",1161,902,37
"connecticut,granby",3166,4029,178
"connecticut,greenwich",13269,22243,600
"connecticut,griswold",3257,2565,159
"connecticut,groton",6272,10699,418
"connecticut,guilford",5050,9616,201
"connecticut,haddam",2693,2728,96
"connecticut,hamden",7139,21652,313
